Player,MLB_ID,Year,Max_EV,Avg_EV,Hard_Hit_Pct,Barrel_Pct,PA,AVG,OBP,SLG,OPS,wRC_Plus
"Cruz, Tony",488810,2015,109.5,85.1,28.3,6.2,,,,,,
"Cuddyer, Michael",150212,2015,110.4,87.5,30.8,4.5,408.0,0.259,0.309,0.391,0.699,97.0
"Davis, Chris",448801,2015,113.2,92.0,45.9,17.3,670.0,0.262,0.361,0.562,0.923,149.0
"Davis, Ike",477195,2015,110.4,87.8,39.5,5.2,239.0,0.229,0.301,0.35,0.652,82.0
"Davis, Khris",501981,2015,110.8,89.8,42.9,14.7,440.0,0.247,0.323,0.505,0.828,122.0
"Davis, Rajai",434658,2015,109.4,86.7,28.3,3.0,370.0,0.258,0.306,0.44,0.746,100.0
"De Aza, Alejandro",457477,2015,105.4,86.8,23.3,2.9,365.0,0.262,0.333,0.422,0.755,105.0
"De Jesús Jr., Iván",474443,2015,102.9,86.3,28.6,2.7,222.0,0.244,0.311,0.373,0.684,88.0
"DeJesus, David",430203,2015,109.1,86.8,27.3,2.1,317.0,0.233,0.297,0.33,0.626,75.0
"DeShields, Delino",592261,2015,108.4,85.8,22.4,1.2,492.0,0.261,0.344,0.374,0.718,95.0
"Denorfia, Chris",456121,2015,110.3,88.1,37.1,3.8,231.0,0.269,0.319,0.373,0.691,89.0
"Descalso, Daniel",518614,2015,105.6,87.1,25.7,2.8,209.0,0.205,0.283,0.324,0.607,44.0
"Desmond, Ian",435622,2015,114.4,90.8,41.1,6.9,641.0,0.233,0.29,0.384,0.674,83.0
"Dickerson, Corey",572816,2015,111.8,89.7,38.1,10.7,234.0,0.304,0.333,0.536,0.869,121.0
"Dietrich, Derek",518618,2015,110.9,87.2,35.6,9.0,289.0,0.256,0.346,0.456,0.802,122.0
"Donaldson, Josh",518626,2015,113.6,92.5,46.5,12.2,711.0,0.297,0.371,0.568,0.939,154.0
"Dozier, Brian",572821,2015,108.9,87.2,31.1,5.9,704.0,0.236,0.307,0.444,0.751,102.0
"Drew, Stephen",452220,2015,107.2,86.4,25.7,3.1,428.0,0.201,0.271,0.381,0.652,76.0
"Duda, Lucas",446263,2015,114.1,91.7,42.3,11.6,554.0,0.244,0.352,0.486,0.838,132.0
"Duffy, Matt",622110,2015,106.4,88.0,32.0,4.0,612.0,0.295,0.334,0.428,0.762,113.0
"Dyson, Jarrod",502481,2015,105.3,83.8,20.0,0.6,225.0,0.25,0.311,0.38,0.691,88.0
"Eaton, Adam",594809,2015,108.3,88.1,30.9,3.1,689.0,0.287,0.361,0.431,0.792,121.0
"Ellis, A.J.",454560,2015,108.5,87.7,32.2,6.8,217.0,0.238,0.355,0.403,0.758,116.0
"Ellsbury, Jacoby",453056,2015,108.6,86.5,28.4,3.0,501.0,0.257,0.318,0.345,0.663,83.0
"Elmore, Jake",518653,2015,101.7,84.0,11.6,0.0,,,,,,
