Player,MLB_ID,Year,Max_EV,Avg_EV,Hard_Hit_Pct,Barrel_Pct,PA,AVG,OBP,SLG,OPS,wRC_Plus
"Hedges, Austin",595978,2019,108.7,86.7,32.5,8.3,347.0,0.176,0.252,0.311,0.563,48.0
"Heredia, Guillermo",628338,2019,108.3,86.6,34.7,2.7,231.0,0.225,0.306,0.363,0.668,84.0
"Hernández, César",514917,2019,108.4,86.0,28.3,2.7,667.0,0.279,0.333,0.408,0.741,91.0
"Hernández, Enrique",571771,2019,113.3,88.3,34.5,5.6,460.0,0.237,0.304,0.411,0.715,86.0
"Hernández, Marco",593523,2019,108.6,86.6,22.4,1.9,,,,,,
"Hernández, Teoscar",606192,2019,112.1,91.2,42.3,11.7,464.0,0.23,0.306,0.472,0.778,103.0
"Heyward, Jason",518792,2019,111.8,88.8,36.5,5.7,589.0,0.251,0.343,0.429,0.772,100.0
"Hicks, Aaron",543305,2019,111.0,89.8,36.8,9.9,255.0,0.235,0.325,0.443,0.769,103.0
"Hicks, John",543308,2019,112.5,87.9,29.9,6.6,333.0,0.21,0.24,0.379,0.62,57.0
"Hiura, Keston",669374,2019,112.4,91.4,50.0,13.5,348.0,0.303,0.368,0.57,0.938,139.0
"Holt, Brock",571788,2019,103.0,87.3,30.6,1.5,295.0,0.297,0.369,0.402,0.771,103.0
"Hoskins, Rhys",656555,2019,111.0,89.7,38.7,9.7,705.0,0.226,0.364,0.454,0.819,112.0
"Hosmer, Eric",543333,2019,114.3,90.8,46.0,7.2,667.0,0.265,0.31,0.425,0.735,92.0
"Iglesias, Jose",578428,2019,107.7,84.1,24.2,2.3,530.0,0.288,0.318,0.407,0.724,82.0
"Inciarte, Ender",542255,2019,103.3,83.0,17.6,1.9,230.0,0.246,0.343,0.397,0.74,92.0
"Jansen, Danny",643376,2019,111.4,88.9,40.0,5.9,384.0,0.207,0.279,0.36,0.64,69.0
"Jay, Jon",445055,2019,103.5,83.1,12.8,1.4,,,,,,
"Jiménez, Eloy",650391,2019,114.1,91.2,47.9,12.8,504.0,0.267,0.315,0.513,0.828,115.0
"Jones, Adam",430945,2019,108.5,86.2,31.0,6.7,528.0,0.26,0.313,0.414,0.728,87.0
"Jones, JaCoby",592444,2019,112.8,91.7,47.6,10.7,333.0,0.235,0.31,0.43,0.74,92.0
"Joyce, Matt",459964,2019,106.7,87.7,33.5,6.5,238.0,0.295,0.408,0.45,0.858,127.0
"Judge, Aaron",592450,2019,118.1,96.0,58.4,20.2,447.0,0.272,0.381,0.54,0.921,141.0
"Kang, Jung Ho",628356,2019,114.5,92.2,46.0,11.5,,,,,,
"Kelly, Carson",608348,2019,109.1,88.9,40.4,8.5,365.0,0.245,0.348,0.478,0.826,107.0
"Kemp, Tony",643393,2019,101.4,86.2,15.7,1.5,279.0,0.212,0.291,0.38,0.671,76.0
"Kendrick, Howie",435062,2019,112.4,91.7,48.3,11.4,370.0,0.344,0.395,0.572,0.966,147.0
"Kepler, Max",596146,2019,112.5,89.7,42.1,8.9,596.0,0.252,0.336,0.519,0.855,122.0
"Kiermaier, Kevin",595281,2019,111.4,89.2,37.7,5.5,480.0,0.228,0.278,0.398,0.676,79.0
"Kiner-Falefa, Isiah",643396,2019,104.9,87.2,33.5,1.3,222.0,0.238,0.299,0.322,0.62,57.0
"Kingery, Scott",664068,2019,111.4,88.4,38.9,8.0,500.0,0.258,0.315,0.474,0.788,100.0
"Kinsler, Ian",435079,2019,103.5,84.3,23.4,1.5,281.0,0.217,0.278,0.368,0.646,71.0
"Kipnis, Jason",543401,2019,107.1,88.1,34.4,5.5,511.0,0.245,0.304,0.41,0.715,86.0
"La Stella, Tommy",600303,2019,105.9,88.2,31.2,5.3,321.0,0.295,0.346,0.486,0.832,119.0
"Lagares, Juan",501571,2019,108.6,88.3,34.4,3.2,285.0,0.213,0.279,0.326,0.605,61.0
"Lamb, Jake",571875,2019,110.4,90.7,42.5,8.2,226.0,0.193,0.323,0.353,0.676,79.0
"Laureano, Ramón",657656,2019,111.6,89.7,40.4,9.7,481.0,0.288,0.34,0.521,0.86,127.0
"LeMahieu, DJ",518934,2019,111.1,91.9,48.7,7.5,655.0,0.327,0.375,0.518,0.893,136.0
"León, Sandy",506702,2019,108.6,85.4,25.4,1.5,,,,,,
"Lindor, Francisco",596019,2019,113.5,91.0,41.0,7.5,654.0,0.284,0.335,0.518,0.854,118.0
"Locastro, Tim",641796,2019,107.6,84.4,19.4,1.2,250.0,0.25,0.357,0.34,0.697,90.0
"Long Jr., Shed",643418,2019,107.7,87.6,36.7,6.3,,,,,,
"Longoria, Evan",446334,2019,110.3,89.7,40.8,7.5,508.0,0.254,0.325,0.437,0.762,100.0
"Lopez, Nicky",670032,2019,105.4,85.0,19.7,1.2,402.0,0.24,0.276,0.325,0.601,56.0
"Lowe, Brandon",664040,2019,114.3,91.6,46.2,16.3,327.0,0.27,0.336,0.514,0.85,127.0
"Lowe, Nathaniel",663993,2019,114.3,91.3,45.2,10.6,,,,,,
"Lucroy, Jonathan",518960,2019,108.3,86.9,32.5,2.9,328.0,0.232,0.305,0.355,0.66,74.0
"Lugo, Dawel",608475,2019,109.7,87.0,36.7,4.6,288.0,0.245,0.271,0.381,0.652,66.0
"Luplow, Jordan",656669,2019,108.8,89.6,38.8,12.1,261.0,0.276,0.372,0.551,0.923,141.0
"Machado, Manny",592518,2019,112.6,91.2,43.7,8.0,661.0,0.256,0.334,0.462,0.796,109.0
"Maldonado, Martín",455117,2019,110.1,88.2,35.1,7.6,374.0,0.213,0.293,0.378,0.671,76.0
"Mancini, Trey",641820,2019,113.9,90.3,42.7,10.3,679.0,0.291,0.364,0.535,0.899,132.0
"Margot, Manuel",622534,2019,109.6,87.7,34.8,3.5,441.0,0.234,0.304,0.387,0.691,84.0
"Marisnick, Jake",545350,2019,111.6,86.7,31.2,4.0,318.0,0.233,0.289,0.411,0.7,85.0
"Markakis, Nick",455976,2019,114.7,91.2,44.3,3.0,469.0,0.285,0.356,0.42,0.776,101.0
"Marte, Ketel",606466,2019,116.3,90.0,40.0,9.3,628.0,0.329,0.389,0.592,0.981,150.0
"Marte, Starling",516782,2019,111.6,88.6,38.6,8.0,586.0,0.295,0.342,0.503,0.845,118.0
"Martin, Leonys",547982,2019,110.1,87.3,27.3,6.2,264.0,0.199,0.276,0.343,0.619,64.0
"Martin, Richie",621006,2019,107.1,83.2,25.2,2.4,309.0,0.208,0.26,0.322,0.581,50.0
"Martin, Russell",431145,2019,107.5,88.2,34.0,5.3,249.0,0.22,0.337,0.33,0.667,82.0
"Martinez, J.D.",502110,2019,112.6,91.4,48.3,12.0,657.0,0.304,0.383,0.557,0.939,139.0
"Martínez, José A.",500874,2019,110.8,88.9,39.3,7.1,373.0,0.269,0.34,0.41,0.751,102.0
"Mathis, Jeff",425772,2019,105.5,86.1,26.4,1.4,244.0,0.158,0.209,0.224,0.433,2.0
"Maybin, Cameron",457727,2019,110.5,89.4,39.5,10.2,269.0,0.285,0.364,0.494,0.858,128.0
"Mazara, Nomar",608577,2019,114.6,89.1,39.3,10.7,469.0,0.268,0.318,0.469,0.786,94.0
"McCann, Brian",435263,2019,108.2,88.8,35.2,5.7,316.0,0.249,0.323,0.412,0.734,88.0
"McCann, James",543510,2019,112.0,90.2,44.2,9.2,476.0,0.273,0.328,0.46,0.789,108.0
"McCutchen, Andrew",457705,2019,110.3,90.6,40.9,7.3,262.0,0.256,0.378,0.457,0.834,120.0
"McKinney, Billy",641856,2019,110.8,86.7,31.9,6.6,276.0,0.215,0.274,0.422,0.696,80.0
"McMahon, Ryan",641857,2019,112.9,91.9,48.0,9.0,539.0,0.25,0.329,0.45,0.779,89.0
"McNeil, Jeff",643446,2019,107.2,89.0,36.7,4.8,567.0,0.318,0.384,0.531,0.916,144.0
"Meadows, Austin",640457,2019,115.4,90.4,42.9,12.5,591.0,0.291,0.364,0.558,0.922,144.0
"Mejía, Francisco",642336,2019,109.6,88.4,29.8,4.7,244.0,0.265,0.316,0.438,0.754,97.0
"Mercado, Óscar",640458,2019,109.5,88.0,34.2,4.1,482.0,0.269,0.318,0.443,0.761,98.0
"Mercer, Jordy",474568,2019,107.5,86.9,36.2,6.5,271.0,0.27,0.31,0.438,0.747,94.0
"Merrifield, Whit",593160,2019,104.8,87.1,29.2,4.5,735.0,0.302,0.348,0.463,0.811,110.0
"Miller, Brad",543543,2019,113.4,92.6,46.8,12.8,,,,,,
"Molina, Yadier",425877,2019,106.2,87.4,35.0,3.8,452.0,0.27,0.312,0.399,0.711,88.0
"Moncada, Yoán",660162,2019,115.8,93.1,47.9,12.2,559.0,0.315,0.367,0.548,0.915,139.0
"Mondesi, Adalberto",609275,2019,108.4,88.7,34.0,8.6,443.0,0.263,0.291,0.424,0.715,81.0
"Moore, Dylan",664238,2019,106.4,88.4,36.1,6.5,282.0,0.206,0.302,0.389,0.691,88.0
"Morales, Kendrys",434778,2019,111.2,91.3,44.8,6.9,201.0,0.194,0.313,0.253,0.566,63.0
"Moran, Colin",592567,2019,110.1,88.2,34.8,7.4,503.0,0.277,0.322,0.429,0.751,93.0
"Moreland, Mitch",519048,2019,114.0,90.8,45.6,11.5,335.0,0.252,0.328,0.507,0.835,112.0
"Moustakas, Mike",519058,2019,112.9,89.5,40.8,10.3,584.0,0.254,0.329,0.516,0.845,113.0
"Muncy, Max",571970,2019,110.1,89.8,43.4,12.0,589.0,0.251,0.374,0.515,0.889,133.0
"Murphy, Daniel",502517,2019,106.4,86.3,28.3,2.4,478.0,0.279,0.328,0.452,0.78,88.0
"Murphy, Tom",608596,2019,111.7,90.6,44.8,10.9,281.0,0.273,0.324,0.535,0.858,126.0
"Muñoz, Yairo",622168,2019,107.9,84.7,25.0,1.5,,,,,,
"Myers, Wil",571976,2019,111.5,90.2,41.4,11.2,490.0,0.239,0.321,0.418,0.739,97.0
"Naquin, Tyler",571980,2019,114.4,90.8,38.9,9.0,294.0,0.288,0.325,0.467,0.792,105.0
"Narváez, Omar",553882,2019,106.1,85.5,28.1,5.3,482.0,0.278,0.353,0.46,0.813,120.0
"Naylor, Josh",647304,2019,115.1,89.6,36.3,6.3,279.0,0.249,0.315,0.403,0.719,90.0
"Newman, Kevin",621028,2019,107.1,85.3,24.8,2.1,531.0,0.308,0.353,0.446,0.8,109.0
"Nido, Tomás",621512,2019,106.7,87.4,30.9,5.0,,,,,,
"Nimmo, Brandon",607043,2019,109.9,89.3,35.6,6.8,254.0,0.221,0.375,0.407,0.783,115.0
"Nola, Austin",543592,2019,107.6,87.4,35.6,3.4,267.0,0.269,0.342,0.454,0.796,114.0
"Núñez, Eduardo",456488,2019,109.6,87.9,32.9,1.4,,,,,,
"Núñez, Renato",600524,2019,114.8,89.9,40.9,10.7,599.0,0.244,0.311,0.46,0.771,99.0
"O'Hearn, Ryan",656811,2019,111.2,90.5,43.7,9.1,370.0,0.195,0.281,0.369,0.65,68.0
"Odor, Rougned",596059,2019,113.1,91.1,45.6,13.6,581.0,0.205,0.283,0.439,0.721,77.0
"Ohtani, Shohei",660271,2019,115.1,92.8,47.1,12.2,425.0,0.286,0.343,0.505,0.848,120.0
"Olson, Matt",621566,2019,111.9,92.7,50.4,14.5,547.0,0.267,0.351,0.545,0.896,135.0
"Osuna, José",591741,2019,110.2,89.2,37.4,5.1,285.0,0.264,0.31,0.456,0.766,96.0
"Owings, Chris",572008,2019,106.9,86.9,31.4,6.9,,,,,,
"Ozuna, Marcell",542303,2019,115.3,91.8,49.2,12.1,549.0,0.241,0.328,0.472,0.8,110.0
"Panik, Joe",605412,2019,106.2,86.8,25.8,2.0,491.0,0.244,0.315,0.336,0.651,76.0
"Parra, Gerardo",467827,2019,105.3,86.2,21.6,4.6,301.0,0.234,0.293,0.391,0.684,74.0
"Pederson, Joc",592626,2019,113.7,91.2,43.5,10.3,514.0,0.249,0.339,0.538,0.876,126.0
"Pence, Hunter",452254,2019,113.1,91.5,42.6,9.1,316.0,0.297,0.358,0.552,0.91,128.0
"Peralta, David",444482,2019,113.2,90.1,40.9,5.4,423.0,0.275,0.343,0.461,0.804,106.0
"Peraza, José",606299,2019,109.4,85.0,25.6,0.3,403.0,0.239,0.285,0.346,0.631,59.0
"Pham, Tommy",502054,2019,113.3,90.9,45.0,7.9,654.0,0.273,0.369,0.45,0.818,123.0
"Phegley, Josh",572033,2019,106.3,84.1,24.3,3.1,342.0,0.239,0.282,0.411,0.693,83.0
"Pillar, Kevin",607680,2019,111.7,86.4,30.8,4.9,645.0,0.259,0.287,0.432,0.719,84.0
"Pinder, Chad",640461,2019,110.0,90.9,44.4,8.2,370.0,0.24,0.29,0.416,0.706,87.0
"Piscotty, Stephen",572039,2019,111.2,89.2,41.0,7.6,393.0,0.249,0.309,0.412,0.72,93.0
"Piña, Manny",444489,2019,109.5,88.5,34.3,8.3,,,,,,
"Plawecki, Kevin",608700,2019,109.4,85.6,32.0,4.7,,,,,,
"Polanco, Gregory",570256,2019,113.7,89.5,30.4,9.6,,,,,,
"Polanco, Jorge",593871,2019,108.2,88.0,33.1,6.7,704.0,0.295,0.356,0.485,0.841,120.0
"Pollock, AJ",572041,2019,108.1,90.6,39.9,8.0,342.0,0.266,0.327,0.468,0.795,107.0
"Posey, Buster",457763,2019,107.6,88.6,36.3,4.8,445.0,0.257,0.32,0.368,0.688,84.0
"Prado, Martín",445988,2019,107.0,87.0,28.5,0.5,260.0,0.233,0.265,0.294,0.559,49.0
"Profar, Jurickson",595777,2019,108.2,86.7,31.3,6.5,518.0,0.218,0.301,0.41,0.711,90.0
"Puig, Yasiel",624577,2019,114.4,90.0,39.1,9.2,611.0,0.267,0.327,0.458,0.785,100.0
"Pujols, Albert",405395,2019,112.3,88.3,36.6,5.8,545.0,0.244,0.305,0.43,0.734,90.0
"Pérez, Hernán",541650,2019,111.8,88.5,35.9,4.1,246.0,0.228,0.262,0.379,0.642,62.0
"Pérez, Roberto",547379,2019,112.8,90.2,41.3,11.0,449.0,0.239,0.321,0.452,0.774,102.0
"Ramos, Wilson",467092,2019,111.0,90.0,42.5,4.7,524.0,0.288,0.351,0.416,0.768,106.0
"Ramírez, Harold",623912,2019,113.0,88.9,34.7,6.3,446.0,0.276,0.312,0.416,0.728,92.0
"Ramírez, José",608070,2019,112.1,89.2,35.7,6.3,542.0,0.255,0.327,0.479,0.806,108.0
"Realmuto, J.T.",592663,2019,112.9,90.3,41.1,8.7,593.0,0.275,0.328,0.493,0.82,107.0
"Reddick, Josh",502210,2019,107.7,86.1,29.4,3.4,550.0,0.275,0.319,0.409,0.728,92.0
"Rendon, Anthony",543685,2019,107.7,90.4,46.6,12.0,646.0,0.319,0.412,0.598,1.01,155.0
"Renfroe, Hunter",592669,2019,114.1,89.9,39.4,12.0,494.0,0.216,0.289,0.489,0.778,99.0
"Rengifo, Luis",650859,2019,108.6,87.1,29.9,6.0,406.0,0.238,0.321,0.364,0.685,83.0
"Reyes, Franmil",614177,2019,115.0,93.3,51.0,14.8,548.0,0.249,0.31,0.512,0.822,111.0
"Reyes, Pablo",622569,2019,111.4,88.2,29.2,3.7,,,,,,
"Reyes, Victor",622682,2019,109.1,87.5,31.8,1.9,292.0,0.304,0.336,0.431,0.767,101.0
"Reynolds, Bryan",668804,2019,112.1,89.5,41.6,6.7,546.0,0.314,0.377,0.503,0.88,130.0
"Rickard, Joey",572073,2019,103.4,84.7,21.2,3.4,,,,,,
"Riley, Austin",663586,2019,111.7,89.4,44.6,13.7,297.0,0.226,0.279,0.471,0.75,85.0
"Rizzo, Anthony",519203,2019,113.4,89.0,37.0,6.8,613.0,0.293,0.405,0.52,0.924,140.0
"Robertson, Daniel",621002,2019,107.7,87.7,33.8,1.4,237.0,0.213,0.312,0.295,0.607,73.0
"Robles, Victor",645302,2019,110.5,83.3,23.0,4.8,617.0,0.255,0.326,0.419,0.745,92.0
"Rodríguez, Ronny",500135,2019,111.1,88.9,40.4,7.5,294.0,0.221,0.252,0.438,0.69,73.0
"Rojas, Miguel",500743,2019,109.2,87.4,28.8,2.6,526.0,0.284,0.331,0.379,0.71,90.0
"Romine, Austin",519222,2019,111.4,88.6,40.6,6.7,240.0,0.281,0.31,0.439,0.748,96.0
"Rondon, José",602922,2019,110.9,87.3,32.1,2.8,,,,,,
"Rosario, Amed",642708,2019,110.3,89.4,39.5,4.2,655.0,0.287,0.323,0.432,0.755,101.0
"Rosario, Eddie",592696,2019,108.6,89.2,36.0,8.5,590.0,0.276,0.3,0.5,0.8,104.0
"Ruiz, Rio",547004,2019,107.8,88.4,36.5,2.8,413.0,0.232,0.306,0.376,0.682,79.0
"Russell, Addison",608365,2019,107.2,86.9,28.1,6.9,241.0,0.237,0.308,0.391,0.699,79.0
"Sandoval, Pablo",467055,2019,114.7,89.8,44.7,11.4,296.0,0.268,0.313,0.507,0.82,110.0
"Santana, Carlos",467793,2019,112.8,91.8,44.9,9.6,686.0,0.281,0.397,0.515,0.911,138.0
"Santana, Danny",542454,2019,113.1,91.4,43.6,9.5,511.0,0.283,0.324,0.534,0.857,111.0
"Santana, Domingo",570267,2019,109.5,89.0,42.1,12.1,507.0,0.253,0.329,0.441,0.77,107.0
"Santander, Anthony",623993,2019,112.9,89.9,36.6,7.7,405.0,0.261,0.297,0.476,0.773,97.0
"Sanó, Miguel",593934,2019,114.2,94.4,57.2,21.2,439.0,0.247,0.346,0.576,0.923,138.0
"Schoop, Jonathan",570731,2019,114.9,87.6,38.5,8.8,464.0,0.256,0.304,0.473,0.777,101.0
"Schwarber, Kyle",656941,2019,117.6,93.5,51.2,14.5,610.0,0.25,0.339,0.531,0.871,119.0
"Seager, Corey",608369,2019,109.7,88.8,38.2,7.3,541.0,0.272,0.335,0.483,0.817,112.0
"Seager, Kyle",572122,2019,107.1,89.5,39.7,8.4,443.0,0.239,0.321,0.468,0.789,111.0
"Segura, Jean",516416,2019,113.1,88.2,32.7,3.2,618.0,0.28,0.323,0.42,0.743,91.0
"Semien, Marcus",543760,2019,108.2,88.9,38.1,8.5,747.0,0.285,0.369,0.522,0.892,138.0
"Senzel, Nick",669222,2019,107.6,87.8,38.2,8.0,414.0,0.256,0.315,0.427,0.742,87.0
"Severino, Pedro",600474,2019,111.0,87.6,33.6,8.5,341.0,0.249,0.321,0.42,0.74,94.0
"Shaw, Travis",543768,2019,113.0,89.1,37.9,7.1,270.0,0.157,0.281,0.27,0.551,47.0
"Simmons, Andrelton",592743,2019,108.8,87.8,33.6,1.7,424.0,0.264,0.309,0.364,0.673,78.0
"Sisco, Chance",642082,2019,107.4,89.5,39.6,10.4,,,,,,
"Slater, Austin",596103,2019,109.1,88.7,49.1,10.1,,,,,,
"Smith Jr., Dwight",596105,2019,114.3,89.1,39.3,3.9,392.0,0.241,0.297,0.412,0.708,83.0
"Smith, Dominic",642086,2019,108.5,88.3,34.8,7.5,,,,,,
"Smith, Kevan",607345,2019,110.1,89.5,41.8,6.5,211.0,0.251,0.318,0.393,0.71,88.0
"Smith, Mallex",605480,2019,105.7,85.2,20.1,2.2,566.0,0.227,0.3,0.335,0.635,74.0
"Smith, Will",669257,2019,108.6,89.4,38.8,10.7,,,,,,
"Smoak, Justin",475253,2019,110.8,90.3,39.8,11.0,500.0,0.208,0.342,0.406,0.748,102.0
"Sogard, Eric",519299,2019,102.9,85.7,20.4,2.1,442.0,0.29,0.353,0.457,0.81,115.0
"Solano, Donovan",456781,2019,109.6,87.0,43.1,4.2,228.0,0.33,0.36,0.456,0.815,116.0
"Soler, Jorge",624585,2019,115.7,92.6,50.1,16.9,679.0,0.265,0.354,0.569,0.922,136.0
"Soto, Juan",665742,2019,112.8,92.0,47.8,12.3,659.0,0.282,0.401,0.548,0.949,143.0
"Springer, George",543807,2019,114.3,89.8,44.8,14.1,556.0,0.292,0.383,0.591,0.974,155.0
"Stallings, Jacob",607732,2019,106.1,89.2,37.8,5.9,210.0,0.262,0.325,0.382,0.708,82.0
"Starling, Bubba",605490,2019,106.9,81.8,17.6,2.3,,,,,,
"Stewart, Christin",621514,2019,112.0,86.9,33.8,7.4,416.0,0.233,0.305,0.388,0.693,80.0
"Stewart, DJ",621466,2019,111.7,87.9,34.7,6.9,,,,,,
"Story, Trevor",596115,2019,111.8,91.0,46.0,8.6,656.0,0.294,0.363,0.554,0.917,122.0
"Strange-Gordon, Dee",543829,2019,102.5,84.2,19.0,0.0,421.0,0.275,0.304,0.359,0.663,77.0
"Suzuki, Kurt",435559,2019,107.3,86.0,32.4,6.5,309.0,0.264,0.324,0.486,0.809,105.0
"Suárez, Eugenio",553993,2019,112.3,89.3,40.8,13.8,662.0,0.271,0.358,0.572,0.93,130.0
"Swanson, Dansby",621020,2019,108.4,89.9,41.6,10.1,545.0,0.251,0.325,0.422,0.748,91.0
"Sánchez, Gary",596142,2019,118.3,91.0,41.9,19.1,446.0,0.232,0.316,0.525,0.841,116.0
"Sánchez, Yolmer",570560,2019,107.5,87.1,27.0,1.0,555.0,0.252,0.318,0.321,0.638,73.0
"Tapia, Raimel",606132,2019,107.1,87.6,31.6,3.7,447.0,0.275,0.309,0.415,0.724,74.0
"Tatis Jr., Fernando",665487,2019,115.9,90.4,44.1,13.2,372.0,0.317,0.379,0.59,0.969,151.0
"Tauchman, Mike",643565,2019,109.8,88.7,38.9,6.3,296.0,0.277,0.361,0.504,0.865,128.0
"Taylor, Chris",621035,2019,108.3,86.0,32.3,5.4,414.0,0.262,0.333,0.462,0.794,106.0
"Tellez, Rowdy",642133,2019,115.2,90.7,41.6,13.2,409.0,0.227,0.293,0.449,0.742,91.0
"Thames, Eric",519346,2019,110.5,90.9,44.2,8.9,459.0,0.247,0.346,0.505,0.851,116.0
"Tilson, Charlie",605508,2019,107.9,86.9,31.1,2.8,,,,,,
"Torres, Gleyber",650402,2019,109.6,89.1,36.8,10.1,604.0,0.278,0.337,0.535,0.871,125.0
"Travis, Sam",607752,2019,110.4,89.1,40.4,7.3,,,,,,
"Trout, Mike",545361,2019,116.6,90.9,44.4,18.9,600.0,0.291,0.438,0.645,1.083,177.0
"Tucker, Cole",657061,2019,107.2,87.9,36.5,4.6,,,,,,
"Turner, Justin",457759,2019,107.7,90.3,43.0,7.8,549.0,0.29,0.372,0.509,0.881,131.0
"Turner, Trea",607208,2019,113.5,90.4,42.0,6.8,569.0,0.298,0.353,0.497,0.85,118.0
"Upton, Justin",457708,2019,111.6,87.2,37.0,11.6,256.0,0.215,0.309,0.416,0.724,89.0
"Urshela, Gio",570482,2019,113.3,90.5,41.6,7.0,476.0,0.314,0.355,0.534,0.889,132.0
"Urías, Luis",649966,2019,105.5,87.3,31.4,4.4,249.0,0.223,0.329,0.326,0.655,82.0
"VanMeter, Josh",642165,2019,106.9,90.1,38.1,4.0,260.0,0.237,0.327,0.408,0.735,88.0
"Vargas, Ildemaro",545121,2019,107.3,87.3,30.3,3.4,211.0,0.269,0.299,0.413,0.712,81.0
"Verdugo, Alex",657077,2019,111.3,89.4,39.7,5.7,377.0,0.294,0.342,0.475,0.817,112.0
"Villar, Jonathan",542340,2019,114.0,88.9,37.1,6.8,714.0,0.274,0.339,0.453,0.792,107.0
"Vogelbach, Daniel",596129,2019,113.1,88.8,38.0,10.5,558.0,0.208,0.341,0.439,0.78,112.0
"Vogt, Stephen",519390,2019,109.6,89.8,41.1,10.4,280.0,0.263,0.314,0.49,0.804,106.0
"Voit, Luke",572228,2019,112.6,89.9,42.4,13.9,510.0,0.263,0.378,0.464,0.842,126.0
"Votto, Joey",458015,2019,109.5,88.9,38.2,6.9,608.0,0.261,0.357,0.411,0.768,98.0
"Vázquez, Christian",543877,2019,107.4,89.4,40.3,5.9,521.0,0.276,0.32,0.477,0.798,102.0
"Walker, Christian",572233,2019,112.4,91.1,48.8,13.1,603.0,0.259,0.348,0.476,0.825,111.0
"Walker, Neil",435522,2019,106.2,86.2,31.0,6.5,381.0,0.261,0.344,0.395,0.738,99.0
"Wendle, Joey",621563,2019,108.2,87.4,32.5,1.5,263.0,0.231,0.293,0.34,0.633,73.0
"White, Tyler",643603,2019,111.4,86.0,30.4,3.6,279.0,0.208,0.308,0.304,0.612,70.0
"Wieters, Matt",446308,2019,106.4,88.8,34.1,7.3,,,,,,
"Wilkerson, Stevie",592859,2019,104.9,86.3,30.4,3.6,361.0,0.225,0.286,0.383,0.669,73.0
"Winker, Jesse",608385,2019,110.8,89.2,41.1,4.3,384.0,0.269,0.357,0.473,0.83,111.0
"Wolters, Tony",547172,2019,103.4,85.3,19.7,0.0,411.0,0.262,0.337,0.329,0.666,63.0
"Wong, Kolten",543939,2019,107.7,86.1,25.4,2.2,549.0,0.285,0.361,0.423,0.784,109.0
"Yastrzemski, Mike",573262,2019,108.5,89.6,42.9,11.2,411.0,0.272,0.334,0.518,0.852,120.0
"Yelich, Christian",592885,2019,117.9,93.3,49.1,15.8,580.0,0.329,0.429,0.671,1.1,174.0
"Zimmerman, Ryan",475582,2019,110.6,91.4,49.3,7.5,,,,,,
"Zobrist, Ben",450314,2019,105.1,85.8,23.4,0.8,,,,,,
"Zunino, Mike",572287,2019,116.1,88.4,36.9,11.3,289.0,0.165,0.232,0.312,0.544,46.0
"d'Arnaud, Travis",518595,2019,113.1,90.0,39.7,7.7,391.0,0.251,0.312,0.433,0.745,100.0
"Abreu, José",547989,2020,114.0,92.9,53.3,14.3,262.0,0.317,0.37,0.617,0.987,164.0
"Acuña Jr., Ronald",660670,2020,114.8,92.3,56.0,16.0,202.0,0.25,0.406,0.581,0.987,158.0
"Adames, Willy",642715,2020,109.1,88.8,40.5,9.9,205.0,0.259,0.332,0.481,0.813,126.0
"Aguilar, Jesús",542583,2020,109.9,89.3,37.5,7.2,216.0,0.277,0.352,0.457,0.809,119.0
"Ahmed, Nick",605113,2020,107.7,87.7,33.3,5.2,217.0,0.266,0.327,0.402,0.729,96.0
"Akiyama, Shogo",673451,2020,104.0,85.1,26.4,0.8,,,,,,
"Alberto, Hanser",593643,2020,103.8,82.3,20.7,1.0,231.0,0.283,0.306,0.393,0.698,87.0
"Alonso, Pete",624413,2020,118.4,90.2,41.2,12.8,239.0,0.231,0.326,0.49,0.817,120.0
"Altuve, Jose",514888,2020,106.9,86.7,33.3,4.6,210.0,0.219,0.286,0.344,0.629,74.0
"Anderson, Brian",605119,2020,109.5,87.4,39.3,9.6,229.0,0.255,0.345,0.465,0.81,120.0
"Anderson, Tim",641313,2020,108.8,87.2,35.8,10.1,221.0,0.322,0.357,0.529,0.886,140.0
"Arcia, Orlando",606115,2020,108.7,89.0,38.7,5.6,,,,,,
"Arenado, Nolan",571448,2020,108.9,87.8,33.7,5.4,201.0,0.253,0.303,0.434,0.738,76.0
"Arraez, Luis",650333,2020,103.7,87.5,30.4,3.9,,,,,,
"Bell, Josh",605137,2020,114.2,91.7,42.9,8.6,223.0,0.226,0.305,0.364,0.669,76.0
"Bellinger, Cody",641355,2020,110.6,89.3,41.5,9.4,243.0,0.239,0.333,0.455,0.789,112.0
"Belt, Brandon",474832,2020,109.1,90.7,46.9,16.8,,,,,,
"Betts, Mookie",605141,2020,108.5,90.7,43.4,7.7,246.0,0.292,0.366,0.562,0.927,147.0
"Biggio, Cavan",624415,2020,103.6,87.4,30.8,5.0,265.0,0.25,0.375,0.432,0.807,122.0
"Blackmon, Charlie",453568,2020,109.7,86.9,29.7,4.9,247.0,0.303,0.356,0.448,0.804,97.0
"Bogaerts, Xander",593428,2020,112.5,89.0,36.8,8.6,225.0,0.3,0.364,0.502,0.867,129.0
"Bohm, Alec",664761,2020,109.6,90.2,46.8,10.3,,,,,,
"Bradley Jr., Jackie",598265,2020,112.4,88.4,36.4,7.6,217.0,0.283,0.364,0.45,0.814,118.0
"Brantley, Michael",488726,2020,105.3,88.7,37.3,4.9,,,,,,
"Braun, Ryan",460075,2020,110.2,89.8,40.8,11.7,,,,,,
