player_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,ev50,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa,year
"Tovar, Ezequiel",678662,420,12.6,36.4,109.8,88.0,99.0,91.6,84.9,447,170,407.0,152,36.2,34,8.1,5.5,2023
"Contreras, William",661388,417,4.7,27.1,113.9,91.3,103.2,96.2,88.4,456,138,410.0,203,48.7,39,9.4,6.4,2023
"Abreu, José",547989,416,10.8,32.5,113.3,89.0,100.8,93.0,86.7,452,159,403.0,173,41.6,36,8.7,6.1,2023
"Bell, Josh",605137,416,9.3,31.3,114.0,90.1,101.6,93.4,87.7,464,157,401.0,179,43.0,42,10.1,6.8,2023
"Rosario, Amed",642708,414,7.6,33.8,110.5,88.3,99.5,92.2,87.1,408,148,379.0,163,39.4,14,3.4,2.6,2023
"Crawford, J.P.",641487,414,15.1,35.0,110.1,88.3,99.1,90.8,88.4,432,165,386.0,150,36.2,20,4.8,3.1,2023
"Swanson, Dansby",621020,413,13.0,35.1,109.1,89.3,99.8,95.1,84.0,429,167,393.0,164,39.7,45,10.9,7.1,2023
"Perez, Salvador",521692,411,15.6,38.0,113.1,90.1,101.4,93.8,86.8,462,188,406.0,181,44.0,36,8.8,6.2,2023
"Yelich, Christian",592885,411,3.5,30.4,113.5,91.7,103.2,96.7,89.4,439,138,396.0,206,50.1,38,9.2,6.0,2023
"Friedl, TJ",670770,409,16.1,31.1,107.1,86.7,96.4,88.6,87.3,419,154,386.0,113,27.6,13,3.2,2.3,2023
"Harris II, Michael",671739,408,7.6,34.3,113.9,90.9,103.6,94.9,89.2,453,155,412.0,198,48.5,41,10.0,7.6,2023
"Henderson, Gunnar",683002,404,11.4,32.9,113.8,92.0,102.7,95.3,89.9,462,169,401.0,210,52.0,46,11.4,7.4,2023
"Edman, Tommy",669242,402,7.5,27.9,111.2,89.1,99.5,92.4,88.1,424,142,391.0,156,38.8,20,5.0,3.8,2023
"Taveras, Leody",665750,401,10.2,35.2,112.2,90.1,100.6,91.9,89.2,436,164,401.0,173,43.1,29,7.2,5.2,2023
"Dubón, Mauricio",643289,400,9.5,37.0,107.0,87.0,97.0,89.2,85.8,409,154,388.0,118,29.5,18,4.5,3.7,2023
"Arozarena, Randy",668227,400,11.3,31.8,114.3,91.7,102.1,96.1,88.9,448,168,401.0,193,48.4,49,12.3,7.5,2023
"Ozuna, Marcell",542303,398,15.6,34.9,115.3,91.8,103.3,96.6,86.1,452,185,410.0,195,49.0,66,16.6,11.1,2023
"Varsho, Daulton",662139,396,20.5,33.6,112.5,87.8,99.9,92.2,84.2,446,170,398.0,143,36.1,29,7.3,5.0,2023
"García Jr., Luis",671277,395,4.6,31.9,110.0,88.3,99.2,92.9,85.1,430,139,387.0,144,36.5,23,5.8,4.8,2023
"Seager, Corey",608369,395,13.0,38.0,114.4,93.3,103.5,97.1,89.0,453,190,407.0,210,53.2,60,15.2,11.2,2023
"Suárez, Eugenio",553993,395,18.9,37.7,111.1,90.3,100.7,94.5,84.9,434,194,400.0,170,43.0,52,13.2,7.5,2023
"Adames, Willy",642715,394,18.2,35.0,109.8,87.4,99.1,93.0,81.3,430,182,400.0,144,36.5,49,12.4,7.7,2023
"Hayes, Ke'Bryan",663647,393,13.2,34.1,113.1,92.2,101.7,94.5,91.2,440,175,398.0,190,48.3,29,7.4,5.5,2023
"Suzuki, Seiya",673548,392,10.8,36.5,114.6,91.4,102.2,94.2,89.6,432,170,399.0,188,48.0,41,10.5,7.0,2023
"Naylor, Josh",647304,391,12.3,35.5,113.9,89.1,100.6,92.9,87.4,442,167,398.0,161,41.2,32,8.2,6.5,2023
"Paredes, Isaac",670623,389,22.2,32.4,107.7,86.9,96.4,91.4,83.8,427,177,378.0,111,28.5,23,5.9,4.0,2023
"Arcia, Orlando",606115,389,5.4,30.6,109.4,88.2,99.2,92.7,85.9,427,140,409.0,160,41.1,27,6.9,5.1,2023
"Báez, Javier",595879,388,9.4,28.9,113.1,88.0,100.2,92.9,84.7,434,145,396.0,153,39.7,20,5.2,3.7,2023
